Comunidades y Ciudades Autónomas,Tasa de riesgo de pobreza o exclusión social (y sus componentes),Periodo,Total
01 Andalucía,En riesgo de pobreza (renta año anterior a la entrevista),2020,"28,5"
01 Andalucía,En riesgo de pobreza (renta año anterior a la entrevista),2019,"31,3"
01 Andalucía,En riesgo de pobreza (renta año anterior a la entrevista),2018,32
01 Andalucía,En riesgo de pobreza (renta año anterior a la entrevista),2017,31
01 Andalucía,En riesgo de pobreza (renta año anterior a la entrevista),2016,"35,4"
01 Andalucía,En riesgo de pobreza (renta año anterior a la entrevista),2015,"35,7"
01 Andalucía,En riesgo de pobreza (renta año anterior a la entrevista),2014,"33,3"
01 Andalucía,En riesgo de pobreza (renta año anterior a la entrevista),2013,"29,1"
01 Andalucía,En riesgo de pobreza (renta año anterior a la entrevista),2012,"28,3"
01 Andalucía,En riesgo de pobreza (renta año anterior a la entrevista),2011,"30,7"
01 Andalucía,En riesgo de pobreza (renta año anterior a la entrevista),2010,"28,3"
01 Andalucía,En riesgo de pobreza (renta año anterior a la entrevista),2009,"28,8"
01 Andalucía,En riesgo de pobreza (renta año anterior a la entrevista),2008,"27,3"
