Periodo,Total
2020,"26,4"
2019,"25,3"
2018,"26,1"
2017,"26,6"
2016,"27,9"
2015,"28,6"
2014,"29,2"
2013,"27,3"
2012,"27,2"
2011,"26,7"
2010,"26,1"
2009,"24,7"
2008,"23,8"
2020,21
2019,"20,7"
2018,"21,5"
2017,"21,6"
2016,"22,3"
2015,"22,1"
2014,"22,2"
2013,"20,4"
2012,"20,8"
2011,"20,6"
2010,"20,7"
2009,"20,4"
2008,"19,8"
2020,7
2019,"4,7"
2018,"5,4"
2017,"5,1"
2016,"5,8"
2015,"6,4"
2014,"7,1"
2013,"6,2"
2012,"5,8"
2011,"4,5"
2010,"4,9"
2009,"4,5"
2008,"3,6"
2020,"9,9"
2019,"10,8"
2018,"10,7"
2017,"12,8"
2016,"14,9"
2015,"15,4"
2014,"17,1"
2013,"15,7"
2012,"14,3"
2011,"13,4"
2010,"10,8"
2009,"7,6"
2008,"6,6"
2020,"35,1"
2019,"37,7"
2018,"38,2"
2017,"37,3"
2016,"41,7"
2015,"43,2"
2014,"42,3"
2013,"38,3"
2012,"36,9"
2011,"38,4"
2010,35
2009,"33,3"
2008,"31,6"
2020,"28,5"
2019,"31,3"
2018,32
2017,31
2016,"35,4"
2015,"35,7"
2014,"33,3"
2013,"29,1"
2012,"28,3"
2011,"30,7"
2010,"28,3"
2009,"28,8"
2008,"27,3"
2020,8
2019,"5,9"
2018,8
2017,"5,2"
2016,"7,1"
2015,8
2014,"9,5"
2013,7
2012,"7,5"
2011,"6,3"
2010,"5,6"
2009,"5,7"
2008,"5,4"
2020,"13,5"
2019,18
2018,"18,1"
2017,"21,9"
2016,"23,5"
2015,"24,9"
2014,"27,4"
2013,"25,3"
2012,"20,6"
2011,"20,1"
2010,"14,7"
2009,"11,4"
2008,"10,1"
2020,"18,5"
2019,"21,1"
2018,"17,7"
2017,"15,8"
2016,"18,7"
2015,"17,7"
2014,"20,7"
2013,"19,8"
2012,"18,4"
2011,"18,6"
2010,"17,5"
2009,"12,6"
2008,"17,1"
2020,16
2019,"17,9"
2018,"14,2"
2017,"13,3"
2016,"15,7"
2015,"14,4"
2014,"16,9"
2013,"16,1"
2012,"14,5"
2011,"15,5"
2010,"14,2"
2009,"11,3"
2008,"14,9"
2020,"1,7"
2019,"2,3"
2018,"1,2"
2017,"0,5"
2016,"2,9"
2015,"2,2"
2014,"4,2"
2013,"3,3"
2012,"2,5"
2011,"0,9"
2010,"2,4"
2009,"0,2"
2008,"0,4"
2020,"6,1"
2019,"5,5"
2018,"5,6"
2017,"5,9"
2016,"7,6"
2015,"6,9"
2014,"10,5"
2013,"10,2"
2012,"11,8"
2011,"7,5"
2010,"5,6"
2009,"2,6"
2008,"4,7"
2020,"27,7"
2019,"24,6"
2018,"20,9"
2017,"17,2"
2016,"18,5"
2015,"24,2"
2014,"23,4"
2013,"21,8"
2012,"24,5"
2011,"20,4"
2010,"16,5"
2009,"18,8"
2008,"19,5"
2020,"22,2"
2019,"20,7"
2018,14
2017,"12,6"
2016,"13,4"
2015,"16,7"
2014,"16,7"
2013,"14,1"
2012,13
2011,"14,1"
2010,"11,5"
2009,13
2008,"13,2"
2020,"4,5"
2019,"3,4"
2018,6
2017,"3,5"
2016,"3,9"
2015,"6,9"
2014,"5,1"
2013,"4,2"
2012,"3,3"
2011,"0,8"
2010,"1,1"
2009,"1,4"
2008,"1,6"
2020,"17,8"
2019,"14,1"
2018,"13,6"
2017,"11,5"
2016,"14,7"
2015,"16,4"
2014,18
2013,"16,5"
2012,"22,6"
2011,"12,8"
2010,"8,8"
2009,"8,7"
2008,"9,1"
2020,22
2019,"15,1"
2018,"18,1"
2017,"24,7"
2016,"19,1"
2015,"26,3"
2014,"23,8"
2013,"27,8"
2012,"25,1"
2011,"26,7"
2010,26
2009,"24,3"
2008,"23,6"
2020,"14,1"
2019,12
2018,"15,4"
2017,"21,3"
2016,"15,5"
2015,"21,7"
2014,"17,9"
2013,"19,8"
2012,"19,9"
2011,21
2010,"22,7"
2009,"18,1"
2008,"18,1"
2020,"6,9"
2019,"2,9"
2018,"5,3"
2017,"6,9"
2016,"3,7"
2015,"7,7"
2014,"9,8"
2013,"10,4"
2012,"7,9"
2011,"7,4"
2010,"4,7"
2009,"6,3"
2008,"3,6"
2020,"4,5"
2019,"3,5"
2018,"4,4"
2017,"3,7"
2016,"6,7"
2015,"8,4"
2014,"7,5"
2013,"7,1"
2012,"10,5"
2011,"13,1"
2010,"11,2"
2009,5
2008,5
2020,"36,3"
2019,35
2018,"36,4"
2017,"40,2"
2016,"44,6"
2015,"37,9"
2014,37
2013,"35,5"
2012,"40,3"
2011,"37,8"
2010,"35,7"
2009,"38,2"
2008,"34,8"
2020,"29,9"
2019,"28,5"
2018,"32,1"
2017,"30,5"
2016,35
2015,"28,5"
2014,"27,6"
2013,"28,4"
2012,"33,6"
2011,"30,1"
2010,"29,7"
2009,"30,4"
2008,"30,7"
2020,"10,7"
2019,"3,9"
2018,"8,8"
2017,"13,6"
2016,"10,8"
2015,"12,4"
2014,"7,2"
2013,"8,5"
2012,"6,5"
2011,"3,9"
2010,"3,5"
2009,"12,7"
2008,"3,9"
2020,"15,3"
2019,"14,8"
2018,"16,3"
2017,"19,2"
2016,"29,5"
2015,"20,8"
2014,"28,1"
2013,"22,8"
2012,"21,5"
2011,"19,9"
2010,"14,8"
2009,12
2008,"9,3"
2020,"23,7"
2019,"19,4"
2018,25
2017,"20,5"
2016,"24,6"
2015,"20,4"
2014,"27,4"
2013,"25,3"
2012,"24,1"
2011,23
2010,"22,5"
2009,"17,3"
2008,"19,9"
2020,18
2019,"17,3"
2018,"19,9"
2017,"17,6"
2016,"15,3"
2015,"14,9"
2014,"20,6"
2013,"17,8"
2012,"17,7"
2011,"16,7"
2010,"20,1"
2009,"13,9"
2008,"14,3"
2020,"4,4"
2019,"0,9"
2018,"3,6"
2017,"2,2"
2016,"7,5"
2015,"3,5"
2014,"3,5"
2013,"3,9"
2012,"2,3"
2011,"1,5"
2010,"1,5"
2009,"1,2"
2008,1
2020,"7,8"
2019,"7,9"
2018,"11,2"
2017,"9,3"
2016,16
2015,"15,5"
2014,"18,4"
2013,"11,1"
2012,"11,9"
2011,"13,8"
2010,"8,9"
2009,"6,8"
2008,"9,2"
2020,"19,8"
2019,"16,7"
2018,"19,5"
2017,"18,4"
2016,"23,2"
2015,"23,3"
2014,"26,1"
2013,"20,8"
2012,"20,4"
2011,"22,3"
2010,"23,8"
2009,"22,1"
2008,"21,4"
2020,"15,1"
2019,"12,9"
2018,"16,1"
2017,"15,4"
2016,"17,7"
2015,"18,3"
2014,"20,4"
2013,"17,5"
2012,"15,9"
2011,"17,6"
2010,"19,5"
2009,"18,8"
2008,"17,5"
2020,"3,6"
2019,"2,3"
2018,"1,9"
2017,1
2016,2
2015,"2,3"
2014,"2,6"
2013,"1,8"
2012,"2,2"
2011,"3,7"
2010,"2,9"
2009,"2,1"
2008,"0,8"
2020,"7,9"
2019,"7,4"
2018,"8,8"
2017,"9,2"
2016,"14,2"
2015,"16,5"
2014,"17,7"
2013,"12,8"
2012,"9,7"
2011,"8,2"
2010,"10,4"
2009,"8,3"
2008,"5,5"
2020,"29,8"
2019,"30,7"
2018,"33,5"
2017,"33,9"
2016,"37,9"
2015,"36,7"
2014,"36,9"
2013,"36,7"
2012,"35,1"
2011,"35,3"
2010,"32,3"
2009,"28,6"
2008,"28,8"
2020,"25,1"
2019,"26,2"
2018,"29,9"
2017,"28,1"
2016,"31,7"
2015,"28,5"
2014,"28,4"
2013,"31,3"
2012,30
2011,"29,4"
2010,"28,3"
2009,"24,8"
2008,"26,4"
2020,"3,1"
2019,"7,4"
2018,"7,2"
2017,"4,4"
2016,"7,6"
2015,"8,5"
2014,"8,7"
2013,"5,8"
2012,"5,7"
2011,"3,9"
2010,"3,8"
2009,"3,8"
2008,"2,4"
2020,8
2019,"11,8"
2018,"12,3"
2017,"12,8"
2016,"18,8"
2015,"15,6"
2014,"14,9"
2013,"19,9"
2012,"15,3"
2011,"14,8"
2010,"11,3"
2009,6
2008,5
2020,"22,8"
2019,"18,8"
2018,"18,9"
2017,"19,4"
2016,"17,9"
2015,"19,8"
2014,"21,8"
2013,"20,1"
2012,"22,6"
2011,"21,6"
2010,"19,8"
2009,19
2008,"15,6"
2020,"16,7"
2019,"13,9"
2018,"13,6"
2017,15
2016,"13,2"
2015,"13,9"
2014,"15,8"
2013,"13,9"
2012,"15,8"
2011,"14,2"
2010,"14,7"
2009,"15,2"
2008,"12,3"
2020,"6,2"
2019,"5,7"
2018,"6,5"
2017,5
2016,"5,5"
2015,"6,7"
2014,"6,3"
2013,"6,1"
2012,"7,4"
2011,"7,2"
