Periodo,Total,﻿Comunidades y Ciudades Autónomas,Tasa de riesgo de pobreza o exclusión social (y sus componentes)
2020,"35,3",18 Ceuta,En riesgo de pobreza (renta año anterior a la entrevista)
2019,"40,6",18 Ceuta,En riesgo de pobreza (renta año anterior a la entrevista)
2018,"38,3",18 Ceuta,En riesgo de pobreza (renta año anterior a la entrevista)
2017,"32,5",18 Ceuta,En riesgo de pobreza (renta año anterior a la entrevista)
2016,36,18 Ceuta,En riesgo de pobreza (renta año anterior a la entrevista)
2015,31,18 Ceuta,En riesgo de pobreza (renta año anterior a la entrevista)
2014,"44,3",18 Ceuta,En riesgo de pobreza (renta año anterior a la entrevista)
2013,"40,8",18 Ceuta,En riesgo de pobreza (renta año anterior a la entrevista)
2012,"32,2",18 Ceuta,En riesgo de pobreza (renta año anterior a la entrevista)
2011,"26,3",18 Ceuta,En riesgo de pobreza (renta año anterior a la entrevista)
2010,"31,3",18 Ceuta,En riesgo de pobreza (renta año anterior a la entrevista)
2009,"36,4",18 Ceuta,En riesgo de pobreza (renta año anterior a la entrevista)
2008,"40,1",18 Ceuta,En riesgo de pobreza (renta año anterior a la entrevista)
