FECHA,Meses,NÚMERO
2020-03-24T11:34:50Z,Marzo,11330
2020-03-24T12:34:53Z,Marzo,14469
2020-03-24T14:38:45Z,Marzo,22234
2020-03-24T15:33:50Z,Marzo,26046
2020-03-25T11:57:32Z,Marzo,52079
2020-03-31T11:09:33Z,Marzo,10864
2020-03-31T12:14:35Z,Marzo,13534
2020-03-31T14:11:31Z,Marzo,20869
2020-04-01T00:24:01Z,Abril,55309
2020-04-01T01:29:07Z,Abril,56754
2020-04-01T02:29:07Z,Abril,58157
2020-04-01T03:28:58Z,Abril,59103
2020-04-01T04:28:54Z,Abril,59545
2020-04-01T07:30:10Z,Abril,57841
2020-04-01T08:35:11Z,Abril,56361
2020-04-07T12:51:45Z,Abril,14694
2020-04-08T09:20:00Z,Abril,50183
2020-04-14T10:33:02Z,Abril,10787
2020-04-14T11:33:15Z,Abril,12966
2020-04-14T13:39:11Z,Abril,19883
2020-04-15T06:50:20Z,Abril,58858
2020-04-21T11:14:20Z,Abril,11747
2020-04-21T12:16:31Z,Abril,14593
2020-04-21T13:16:35Z,Abril,18076
2020-04-21T14:16:39Z,Abril,22410
2020-04-22T01:27:48Z,Abril,47718
2020-04-22T02:27:39Z,Abril,48615
2020-04-22T03:24:30Z,Abril,49347
2020-04-22T04:29:40Z,Abril,49865
2020-04-22T05:34:36Z,Abril,49877
2020-04-28T11:47:33Z,Abril,11183
2020-04-28T12:52:41Z,Abril,14364
2020-04-28T13:54:04Z,Abril,18001
2020-04-29T01:02:28Z,Abril,44129
2020-04-29T02:07:25Z,Abril,45151
2020-04-29T03:07:22Z,Abril,46000
2020-04-29T04:07:18Z,Abril,46455
2020-04-29T05:07:19Z,Abril,46321
2020-04-29T07:08:21Z,Abril,44267
2020-04-29T08:13:21Z,Abril,42970
2020-04-29T09:13:22Z,Abril,41728
2020-05-05T11:24:27Z,Mayo,10064
2020-05-05T12:29:28Z,Mayo,13041
2020-05-05T13:29:29Z,Mayo,16463
2020-05-05T19:39:34Z,Mayo,36684
2020-05-06T00:44:31Z,Mayo,43871
2020-05-06T06:44:24Z,Mayo,45220
2020-05-06T07:49:24Z,Mayo,43901
2020-05-12T11:07:26Z,Mayo,10847
2020-05-12T12:07:59Z,Mayo,13518
2020-05-12T13:08:04Z,Mayo,17153
2020-05-19T10:41:30Z,Mayo,10161
2020-05-19T11:51:33Z,Mayo,12871
2020-05-19T12:46:35Z,Mayo,15792
2020-06-09T11:00:05Z,Junio,10116
2020-06-09T12:00:06Z,Junio,12420
2020-06-09T13:05:09Z,Junio,15635
2020-06-09T19:08:33Z,Junio,35032
2020-06-09T20:08:34Z,Junio,37104
2020-06-10T00:13:11Z,Junio,42454
2020-06-10T05:17:46Z,Junio,45775
2020-06-10T06:17:49Z,Junio,44703
2020-06-10T09:22:53Z,Junio,40796
2020-06-16T10:50:25Z,Junio,10852
2020-06-16T11:55:30Z,Junio,13911
2020-06-16T12:50:35Z,Junio,17370
2020-06-17T01:05:34Z,Junio,49161
2020-06-17T02:05:28Z,Junio,50131
2020-06-17T03:05:25Z,Junio,50807
2020-06-17T07:10:29Z,Junio,48164
2020-06-17T08:15:27Z,Junio,46790
2020-06-23T11:42:32Z,Junio,10760
2020-06-23T12:47:31Z,Junio,13706
2020-06-23T13:47:30Z,Junio,17851
2020-06-24T02:59:07Z,Junio,47929
2020-06-24T03:59:13Z,Junio,48531
2020-06-30T13:37:05Z,Junio,16535
2020-06-30T14:42:31Z,Junio,21088
2020-06-30T15:39:35Z,Junio,24592
2020-07-01T02:49:21Z,Julio,46146
2020-07-01T03:54:16Z,Julio,46876
2020-07-01T04:49:16Z,Julio,47177
2020-07-01T05:54:17Z,Julio,47034
2020-07-01T06:54:23Z,Julio,46010
2020-07-07T12:21:26Z,Julio,11838
2020-07-07T13:16:30Z,Julio,14848
2020-07-07T14:21:56Z,Julio,19124
2020-07-07T15:26:48Z,Julio,23012
2020-07-08T04:36:09Z,Julio,44350
2020-07-08T05:36:07Z,Julio,44036
2020-07-08T07:36:10Z,Julio,41524
2020-07-14T12:06:34Z,Julio,11253
2020-07-14T13:01:38Z,Julio,14017
2020-07-14T14:06:43Z,Julio,17970
2020-07-14T15:07:58Z,Julio,21908
2020-07-14T16:07:45Z,Julio,25405
2020-07-15T02:22:36Z,Julio,43985
2020-07-15T03:17:30Z,Julio,44671
2020-07-21T12:48:46Z,Julio,12606
2020-07-21T13:48:46Z,Julio,16240
2020-07-21T14:48:46Z,Julio,19768
2020-07-21T15:48:39Z,Julio,23166
2020-07-22T03:04:53Z,Julio,42740
2020-07-22T04:04:49Z,Julio,43069
2020-07-22T05:04:49Z,Julio,42858
2020-07-22T06:04:47Z,Julio,41988
2020-07-22T07:09:47Z,Julio,40830
2020-07-22T08:09:45Z,Julio,39549
2020-07-22T09:09:49Z,Julio,38609
2020-07-28T11:29:32Z,Julio,10042
2020-07-28T12:29:34Z,Julio,12652
2020-07-28T13:31:00Z,Julio,16038
2020-07-28T14:31:18Z,Julio,19609
2020-06-09T11:00:05Z,Junio,10116
2020-06-09T12:00:06Z,Junio,12420
2020-06-09T13:05:09Z,Junio,15635
2020-06-09T19:08:33Z,Junio,35032
2020-06-09T20:08:34Z,Junio,37104
2020-06-10T00:13:11Z,Junio,42454
2020-06-10T05:17:46Z,Junio,45775
2020-06-10T06:17:49Z,Junio,44703
2020-06-10T09:22:53Z,Junio,40796
2020-06-16T10:50:25Z,Junio,10852
2020-06-16T11:55:30Z,Junio,13911
2020-06-16T12:50:35Z,Junio,17370
2020-06-17T01:05:34Z,Junio,49161
2020-06-17T02:05:28Z,Junio,50131
2020-06-17T03:05:25Z,Junio,50807
2020-06-17T07:10:29Z,Junio,48164
2020-06-17T08:15:27Z,Junio,46790
2020-06-23T11:42:32Z,Junio,10760
2020-06-23T12:47:31Z,Junio,13706
2020-06-23T13:47:30Z,Junio,17851
2020-06-24T02:59:07Z,Junio,47929
2020-06-24T03:59:13Z,Junio,48531
2020-06-30T13:37:05Z,Junio,16535
2020-06-30T14:42:31Z,Junio,21088
2020-06-30T15:39:35Z,Junio,24592
2020-07-01T02:49:21Z,Julio,46146
2020-07-01T03:54:16Z,Julio,46876
2020-07-01T04:49:16Z,Julio,47177
2020-07-01T05:54:17Z,Julio,47034
2020-07-01T06:54:23Z,Julio,46010
2020-07-07T12:21:26Z,Julio,11838
2020-07-07T13:16:30Z,Julio,14848
2020-07-07T14:21:56Z,Julio,19124
2020-07-07T15:26:48Z,Julio,23012
2020-07-08T04:36:09Z,Julio,44350
2020-07-08T05:36:07Z,Julio,44036
2020-07-08T07:36:10Z,Julio,41524
2020-07-14T12:06:34Z,Julio,11253
2020-07-14T13:01:38Z,Julio,14017
2020-07-14T14:06:43Z,Julio,17970
